datetime,value,timestamp_utc
2019-12-31 22:00:00+00:00,0.0,2023-12-31 22:00:00+00:00
2019-12-31 22:15:00+00:00,0.0,2023-12-31 22:15:00+00:00
2019-12-31 22:30:00+00:00,0.0,2023-12-31 22:30:00+00:00
2019-12-31 22:45:00+00:00,0.0,2023-12-31 22:45:00+00:00
2019-12-31 23:00:00+00:00,0.0,2023-12-31 23:00:00+00:00
2019-12-31 23:15:00+00:00,0.0,2023-12-31 23:15:00+00:00
2019-12-31 23:30:00+00:00,0.0,2023-12-31 23:30:00+00:00
2019-12-31 23:45:00+00:00,0.0,2023-12-31 23:45:00+00:00
2020-01-01 00:00:00+00:00,0.0,2024-01-01 00:00:00+00:00
2020-01-01 00:15:00+00:00,0.0,2024-01-01 00:15:00+00:00
2020-01-01 00:30:00+00:00,0.0,2024-01-01 00:30:00+00:00
2020-01-01 00:45:00+00:00,0.0,2024-01-01 00:45:00+00:00
2020-01-01 01:00:00+00:00,0.0,2024-01-01 01:00:00+00:00
2020-01-01 01:15:00+00:00,0.0,2024-01-01 01:15:00+00:00
2020-01-01 01:30:00+00:00,0.0,2024-01-01 01:30:00+00:00
2020-01-01 01:45:00+00:00,0.0,2024-01-01 01:45:00+00:00
2020-01-01 02:00:00+00:00,0.0,2024-01-01 02:00:00+00:00
2020-01-01 02:15:00+00:00,0.0,2024-01-01 02:15:00+00:00
2020-01-01 02:30:00+00:00,0.0,2024-01-01 02:30:00+00:00
2020-01-01 02:45:00+00:00,0.0,2024-01-01 02:45:00+00:00
2020-01-01 03:00:00+00:00,0.0,2024-01-01 03:00:00+00:00
2020-01-01 03:15:00+00:00,0.0,2024-01-01 03:15:00+00:00
2020-01-01 03:30:00+00:00,0.0,2024-01-01 03:30:00+00:00
2020-01-01 03:45:00+00:00,0.0,2024-01-01 03:45:00+00:00
2020-01-01 04:00:00+00:00,0.0,2024-01-01 04:00:00+00:00
2020-01-01 04:15:00+00:00,0.0,2024-01-01 04:15:00+00:00
2020-01-01 04:30:00+00:00,0.0,2024-01-01 04:30:00+00:00
2020-01-01 04:45:00+00:00,0.0,2024-01-01 04:45:00+00:00
2020-01-01 05:00:00+00:00,0.0,2024-01-01 05:00:00+00:00
2020-01-01 05:15:00+00:00,0.0,2024-01-01 05:15:00+00:00
2020-01-01 05:30:00+00:00,0.0,2024-01-01 05:30:00+00:00
2020-01-01 05:45:00+00:00,0.0,2024-01-01 05:45:00+00:00
2020-01-01 06:00:00+00:00,0.0,2024-01-01 06:00:00+00:00
2020-01-01 06:15:00+00:00,0.0,2024-01-01 06:15:00+00:00
2020-01-01 06:30:00+00:00,0.0,2024-01-01 06:30:00+00:00
2020-01-01 06:45:00+00:00,0.0,2024-01-01 06:45:00+00:00
2020-01-01 07:00:00+00:00,0.0,2024-01-01 07:00:00+00:00
2020-01-01 07:15:00+00:00,0.0,2024-01-01 07:15:00+00:00
2020-01-01 07:30:00+00:00,0.0,2024-01-01 07:30:00+00:00
2020-01-01 07:45:00+00:00,0.0,2024-01-01 07:45:00+00:00
2020-01-01 08:00:00+00:00,3.2772747870638392,2024-01-01 08:00:00+00:00
2020-01-01 08:15:00+00:00,3.2772747870638392,2024-01-01 08:15:00+00:00
2020-01-01 08:30:00+00:00,3.2772747870638392,2024-01-01 08:30:00+00:00
2020-01-01 08:45:00+00:00,3.2772747870638392,2024-01-01 08:45:00+00:00
2020-01-01 09:00:00+00:00,23.721227030176358,2024-01-01 09:00:00+00:00
2020-01-01 09:15:00+00:00,23.721227030176358,2024-01-01 09:15:00+00:00
2020-01-01 09:30:00+00:00,23.721227030176358,2024-01-01 09:30:00+00:00
2020-01-01 09:45:00+00:00,23.721227030176358,2024-01-01 09:45:00+00:00
2020-01-01 10:00:00+00:00,51.39599189871545,2024-01-01 10:00:00+00:00
2020-01-01 10:15:00+00:00,51.39599189871545,2024-01-01 10:15:00+00:00
2020-01-01 10:30:00+00:00,51.39599189871545,2024-01-01 10:30:00+00:00
2020-01-01 10:45:00+00:00,51.39599189871545,2024-01-01 10:45:00+00:00
2020-01-01 11:00:00+00:00,70.1232763962231,2024-01-01 11:00:00+00:00
2020-01-01 11:15:00+00:00,70.1232763962231,2024-01-01 11:15:00+00:00
2020-01-01 11:30:00+00:00,70.1232763962231,2024-01-01 11:30:00+00:00
2020-01-01 11:45:00+00:00,70.1232763962231,2024-01-01 11:45:00+00:00
